Continent;Week start date;Mean of positive cases;Standard deviation of positive cases;Minimum of positive cases;Maximum of positive cases
Africa;2020-01-20;0.0;0.0;0.0;0.0
Africa;2020-01-27;0.0;0.0;0.0;0.0
Africa;2020-02-03;0.0;0.0;0.0;0.0
Africa;2020-02-10;0.14285714285714285;0.37796447300922725;0.0;1.0
Africa;2020-02-17;0.0;0.0;0.0;0.0
Africa;2020-02-24;0.2857142857142857;0.4879500364742666;0.0;1.0
Africa;2020-03-02;5.428571428571429;6.241184258807054;0.0;18.0
Africa;2020-03-09;26.285714285714285;22.05836414087474;8.0;68.0
Africa;2020-03-16;104.0;41.21488404286329;57.0;157.0
Africa;2020-03-23;354.42857142857144;103.10489342227675;214.0;474.0
Africa;2020-03-30;508.0;135.15669918037113;354.0;765.0
Africa;2020-04-06;574.2857142857143;50.44704909015751;528.0;648.0
Africa;2020-04-13;942.7142857142857;233.2371570495821;721.0;1251.0
Africa;2020-04-20;1225.7142857142858;203.37626400813042;1015.0;1579.0
Africa;2020-04-27;1664.857142857143;277.32557795932956;1272.0;2054.0
Africa;2020-05-04;2378.4285714285716;609.3887257306448;1561.0;3436.0
Africa;2020-05-11;2817.714285714286;224.8886496955877;2523.0;3168.0
Africa;2020-05-18;3125.0;342.2805866536985;2775.0;3459.0
America;2020-01-20;0.5;0.5773502691896257;0.0;1.0
America;2020-01-27;1.4285714285714286;1.8126539343499313;0.0;4.0
America;2020-02-03;0.8571428571428571;1.2149857925879117;0.0;3.0
America;2020-02-10;0.2857142857142857;0.48795003647426666;0.0;1.0
America;2020-02-17;0.5714285714285714;1.1338934190276817;0.0;3.0
America;2020-02-24;10.0;13.341664064126334;0.0;37.0
America;2020-03-02;58.57142857142857;46.83608702292547;18.0;151.0
America;2020-03-09;408.14285714285717;242.37191020649;85.0;765.0
America;2020-03-16;3831.0;2847.5672658136336;895.0;7464.0
America;2020-03-23;15530.0;5142.91733033564;9212.0;22287.0
America;2020-03-30;30045.0;5957.231543818543;21539.0;36587.0
America;2020-04-06;36745.0;3452.4766955525324;32913.0;41442.0
America;2020-04-13;36160.71428571428;3852.4656050502563;31504.0;40686.0
America;2020-04-20;40190.857142857145;8593.44444772819;32786.0;56960.0
America;2020-04-27;41048.0;5783.434158583174;32239.0;49658.0
America;2020-05-04;43499.857142857145;3720.8217474357025;37871.0;47920.0
America;2020-05-11;44243.857142857145;8729.586672700516;32510.0;54274.0
America;2020-05-18;45443.666666666664;6971.171804892871;37900.0;51648.0
Asia;2020-01-20;3.75;1.2583057392117916;2.0;5.0
Asia;2020-01-27;8.142857142857142;3.9761191895520196;2.0;14.0
Asia;2020-02-03;7.142857142857143;6.491753010001008;0.0;16.0
Asia;2020-02-10;9.285714285714286;6.102302453836194;3.0;22.0
Asia;2020-02-17;18.285714285714285;7.91021039994693;10.0;31.0
Asia;2020-02-24;119.42857142857143;76.7677387597532;36.0;251.0
Asia;2020-03-02;829.4285714285714;350.1827414093281;429.0;1383.0
Asia;2020-03-09;1239.5714285714287;402.3227796777347;666.0;1740.0
Asia;2020-03-16;1964.142857142857;320.7571399940192;1520.0;2502.0
Asia;2020-03-23;4854.0;1829.6819395731052;2774.0;7233.0
Asia;2020-03-30;8568.42857142857;1018.5286540140238;7064.0;9741.0
Asia;2020-04-06;11438.142857142857;1339.9437088389732;9748.0;13384.0
Asia;2020-04-13;15038.285714285714;1294.5235564080083;13635.0;16626.0
Asia;2020-04-20;18275.714285714286;1080.5925402737325;16694.0;19781.0
Asia;2020-04-27;19185.14285714286;1719.8548803674714;17662.0;21612.0
Asia;2020-05-04;25595.285714285714;1471.4588808713747;23485.0;27239.0
Asia;2020-05-11;28520.714285714286;1242.7090990098627;27640.0;31010.0
Asia;2020-05-18;30181.666666666668;714.2214875886425;29698.0;31002.0
Europe;2020-01-20;0.75;0.9574271077563381;0.0;2.0
Europe;2020-01-27;2.5714285714285716;2.439750182371333;0.0;6.0
Europe;2020-02-03;1.8571428571428572;1.7728105208558367;0.0;5.0
Europe;2020-02-10;1.5714285714285714;1.7182493859684493;0.0;5.0
Europe;2020-02-17;8.428571428571429;16.102351203650798;0.0;42.0
Europe;2020-02-24;193.57142857142858;113.66156949889607;78.0;371.0
Europe;2020-03-02;1154.0;612.7386609857964;514.0;2125.0
Europe;2020-03-09;5176.428571428572;4492.756683712976;659.0;13906.0
Europe;2020-03-16;14660.42857142857;5123.859640841815;8231.0;21150.0
Europe;2020-03-23;28772.0;6654.436264628282;18664.0;35937.0
Europe;2020-03-30;33152.142857142855;2744.7488912814;28842.0;36091.0
Europe;2020-04-06;30283.85714285714;3637.4858729884404;25901.0;36456.0
Europe;2020-04-13;30174.14285714286;11044.79891817217;18911.0;50370.0
Europe;2020-04-20;21400.0;3826.5962682258496;16988.0;29278.0
Europe;2020-04-27;14903.42857142857;943.0194160501782;13448.0;15802.0
Europe;2020-05-04;13577.57142857143;2692.697461477546;10589.0;18088.0
Europe;2020-05-11;10647.0;971.6384787220674;9435.0;12436.0
Europe;2020-05-18;8409.333333333334;719.5876133823688;7668.0;9105.0
